
=== Logger initialized at Thu May  7 11:31:28 2026
[2026-05-07 11:35:44.215] [DEBUG] [INPUT ] AFTER  yaw=-90.00 pitch=-45.00 front=-0.00,-0.71,-0.71 pos=8.00,11.16,8.00
[2026-05-07 11:35:44.231] [DEBUG] [INPUT ] AFTER  yaw=-90.00 pitch=-45.00 front=-0.00,-0.71,-0.71 pos=8.00,11.08,8.00
[2026-05-07 11:35:44.248] [DEBUG] [INPUT ] AFTER  yaw=-90.00 pitch=-45.00 front=-0.00,-0.71,-0.71 pos=8.00,11.00,8.00
[2026-05-07 11:35:44.264] [DEBUG] [INPUT ] AFTER  yaw=-90.00 pitch=-45.00 front=-0.00,-0.71,-0.71 pos=8.00,10.91,8.00
[2026-05-07 11:35:44.281] [DEBUG] [INPUT ] AFTER  yaw=-90.00 pitch=-45.00 front=-0.00,-0.71,-0.71 pos=8.00,10.81,8.00
[2026-05-07 11:35:44.298] [DEBUG] [INPUT ] AFTER  yaw=-90.00 pitch=-45.00 front=-0.00,-0.71,-0.71 pos=8.00,10.70,8.00
[2026-05-07 11:35:44.314] [DEBUG] [INPUT ] AFTER  yaw=-90.00 pitch=-45.00 front=-0.00,-0.71,-0.71 pos=8.00,10.60,8.00
[2026-05-07 11:35:44.929] [DEBUG] [INPUT ] AFTER  yaw=-90.00 pitch=-45.00 front=-0.00,-0.71,-0.71 pos=8.00,2.60,8.00

=== Logger initialized at Thu May  7 12:29:31 2026
[2026-05-07 12:29:31.325] [INFO ] [GL    ] Loaded texture: assets/atlas.png (1024x1024)
[2026-05-07 12:29:31.328] [DEBUG] [WORLD ] Loaded chunk -3,-3 (slot 0)
[2026-05-07 12:29:31.331] [DEBUG] [WORLD ] Loaded chunk -3,-2 (slot 1)
[2026-05-07 12:29:31.333] [DEBUG] [WORLD ] Loaded chunk -3,-1 (slot 2)
[2026-05-07 12:29:31.336] [DEBUG] [WORLD ] Loaded chunk -3,0 (slot 3)
[2026-05-07 12:29:31.338] [DEBUG] [WORLD ] Loaded chunk -3,1 (slot 4)
[2026-05-07 12:29:31.339] [DEBUG] [WORLD ] Loaded chunk -3,2 (slot 5)
[2026-05-07 12:29:31.342] [DEBUG] [WORLD ] Loaded chunk -3,3 (slot 6)
[2026-05-07 12:29:31.344] [DEBUG] [WORLD ] Loaded chunk -2,-3 (slot 7)
[2026-05-07 12:29:31.345] [DEBUG] [WORLD ] Loaded chunk -2,-2 (slot 8)
[2026-05-07 12:29:31.347] [DEBUG] [WORLD ] Loaded chunk -2,-1 (slot 9)
[2026-05-07 12:29:31.349] [DEBUG] [WORLD ] Loaded chunk -2,0 (slot 10)
[2026-05-07 12:29:31.351] [DEBUG] [WORLD ] Loaded chunk -2,1 (slot 11)
